File: MNCLW00481.txt
Search Method: Trie (MWE + Single-Word)
Total runtime: 0.021147s
Found terms: 1155

Term                            Line                  Word Place          

албан татвар                    8, 15, 15, 17         3, 7, 10, 3         
                                19, 27, 27, 28        23, 12, 21, 8       
                                28, 28, 28, 30        18, 24, 35, 9       
                                30, 30, 32, 33        17, 28, 29, 3       
                                38, 38, 38, 39        3, 19, 28, 20       
                                40, 42, 43, 44        9, 4, 4, 3          
                                44, 48, 48, 49        15, 1, 4, 1         
                                49, 50, 51, 53        4, 6, 20, 14        
                                53, 57, 58, 63        25, 5, 19, 6        
                                63, 65, 66, 67        19, 17, 4, 12       
                                68, 70, 70, 71        23, 6, 14, 5        
                                71, 71, 71, 71        14, 22, 34, 47      
                                73, 74, 74, 76        9, 12, 17, 1        
                                77, 79, 85, 85        1, 10, 13, 20       
                                85, 104, 105, 109     42, 9, 12, 1        
                                110, 116, 116, 118    1, 8, 19, 5         
                                121, 121, 121, 122    3, 20, 25, 9        
                                123, 124, 129, 135    8, 15, 3, 6         
                                136, 141, 142, 143    7, 13, 6, 11        
                                145, 146, 149, 150    1, 1, 9, 9          
                                151, 153, 156, 157    9, 12, 7, 11        
                                162, 167, 168, 170    22, 1, 1, 3         
                                200, 214, 223, 244    26, 3, 16, 14       
                                248, 250, 252, 252    21, 41, 13, 18      
                                256, 257, 259, 259    1, 1, 5, 24         
                                259, 262, 263, 263    29, 9, 58, 66       
                                263, 266, 271, 274    70, 21, 18, 17      
                                275, 275, 276, 276    8, 26, 10, 12       
                                276, 280, 283, 284    18, 3, 23, 16       
                                285, 288, 288, 288    6, 19, 24, 30       
                                288, 288, 291, 293    41, 47, 22, 7       
                                294, 295, 298, 298    8, 19, 8, 13        
                                298, 307, 307, 309    21, 20, 28, 24      
                                310, 311, 311, 311    20, 31, 41, 49      
                                312, 315, 316, 316    17, 7, 7, 12        
                                316, 317, 319, 322    15, 3, 9, 1         
                                323, 325, 326, 326    1, 11, 8, 10        
                                327, 328, 329, 330    19, 6, 12, 3        
                                331, 332, 333, 334    16, 9, 5, 14        
                                335, 336, 337, 346    32, 7, 5, 3         
                                354                   16                  
нийтлэх                         12, 13                1, 1                
үйлчлэгч                        18, 19, 158, 247      4, 28, 29, 7        
